CustomerID,ChurnStatus,Age,Gender,MaritalStatus,IncomeLevel,Total_Interactions,Resolved_Count,Last_Interaction_Date,Unresolved_Count,LoginFrequency,ServiceUsage,Days_Since_LastLogin,Total_Spend,Avg_Spend,Txn_Count,Distinct_Categories
1,0,62,M,Single,Low,1.0,1.0,2022-03-31,0.0,34,Mobile App,71,416.5,416.5,1,1
2,1,65,M,Married,Low,1.0,1.0,2022-03-17,0.0,5,Website,26,1547.4199999999998,221.05999999999997,7,4
3,0,18,M,Single,Low,1.0,1.0,2022-08-24,0.0,3,Website,46,1702.98,283.83,6,4
4,0,21,M,Widowed,Low,2.0,1.0,2022-11-18,1.0,2,Website,128,917.29,183.458,5,4
5,0,21,M,Divorced,Medium,,,,,41,Website,65,2001.49,250.18625,8,3
6,0,57,F,Divorced,Medium,1.0,1.0,2022-05-05,0.0,2,Website,105,1164.29,232.858,5,4
7,0,27,F,Married,High,,,,,32,Mobile App,358,86.73,86.73,1,1
8,1,37,M,Single,Low,2.0,0.0,2022-09-13,2.0,17,Online Banking,253,2046.88,292.4114285714286,7,4
9,0,39,M,Divorced,High,1.0,1.0,2022-08-15,0.0,24,Website,187,1317.24,263.448,5,3
10,1,68,M,Married,High,,,,,29,Online Banking,352,1397.36,199.62285714285713,7,4
11,0,54,M,Divorced,Medium,2.0,1.0,2022-10-28,1.0,30,Online Banking,343,1733.83,346.76599999999996,5,2
12,0,41,F,Married,Low,2.0,1.0,2022-11-29,1.0,43,Website,0,87.1,87.1,1,1
13,0,24,F,Divorced,Low,1.0,1.0,2022-07-27,0.0,10,Mobile App,179,392.02,130.67333333333332,3,3
14,0,42,M,Widowed,Medium,2.0,1.0,2022-07-29,1.0,26,Online Banking,355,2843.59,315.95444444444445,9,4
15,0,42,M,Divorced,Medium,2.0,0.0,2022-10-18,2.0,44,Online Banking,199,1914.02,239.2525,8,5
16,1,30,F,Single,Medium,2.0,2.0,2022-09-08,0.0,41,Online Banking,291,2019.79,224.42111111111112,9,4
17,0,19,M,Married,Low,2.0,1.0,2022-05-11,1.0,8,Online Banking,119,1625.27,232.18142857142857,7,5
18,1,56,F,Married,High,1.0,0.0,2022-11-08,1.0,37,Website,37,951.3800000000001,190.276,5,3
19,0,57,F,Divorced,High,2.0,0.0,2022-11-28,2.0,39,Online Banking,298,1017.26,203.452,5,3
20,0,41,M,Single,Low,1.0,1.0,2022-07-19,0.0,16,Website,138,2775.85,308.42777777777775,9,5
21,0,64,M,Divorced,High,,,,,18,Website,198,913.02,182.60399999999998,5,2
22,0,42,F,Divorced,Low,2.0,2.0,2022-08-06,0.0,42,Mobile App,239,1582.73,263.78833333333336,6,4
23,0,35,F,Divorced,Low,2.0,1.0,2022-03-18,1.0,19,Mobile App,177,1490.74,372.685,4,2
24,0,55,M,Widowed,Medium,1.0,1.0,2022-11-02,0.0,12,Mobile App,88,1143.22,228.644,5,4
25,0,43,F,Married,Low,1.0,1.0,2022-12-06,0.0,27,Mobile App,319,764.77,254.92333333333332,3,2
26,1,31,M,Single,Medium,1.0,1.0,2022-12-12,0.0,45,Mobile App,93,571.76,190.58666666666667,3,3
27,0,26,M,Widowed,Medium,1.0,0.0,2022-06-13,1.0,22,Mobile App,91,2210.6,276.325,8,5
28,0,27,F,Widowed,High,2.0,0.0,2022-12-01,2.0,42,Online Banking,66,1702.26,283.71,6,3
29,0,38,F,Divorced,Medium,2.0,1.0,2022-09-13,1.0,34,Website,120,853.0699999999999,284.3566666666666,3,2
30,0,69,M,Divorced,High,2.0,1.0,2022-10-16,1.0,38,Website,172,706.66,353.33,2,2
31,0,34,M,Divorced,Low,2.0,2.0,2022-06-18,0.0,23,Online Banking,136,1108.56,221.712,5,3
32,0,69,F,Married,High,,,,,48,Mobile App,359,1225.52,245.10399999999998,5,4
33,1,23,M,Divorced,High,1.0,1.0,2022-05-30,0.0,24,Mobile App,226,689.0,344.5,2,2
34,0,33,M,Widowed,High,2.0,1.0,2022-07-02,1.0,44,Online Banking,272,1886.4,209.60000000000002,9,4
35,0,65,M,Married,Low,1.0,0.0,2022-07-07,1.0,19,Mobile App,222,779.8399999999999,259.94666666666666,3,3
36,0,18,F,Widowed,Low,1.0,1.0,2022-10-28,0.0,6,Online Banking,323,1321.5500000000002,220.25833333333335,6,4
37,0,36,F,Married,Medium,1.0,1.0,2022-03-20,0.0,3,Online Banking,125,3166.88,351.8755555555556,9,4
38,0,53,F,Married,Low,1.0,1.0,2022-03-25,0.0,47,Online Banking,34,874.86,291.62,3,2
39,0,42,M,Married,Medium,,,,,26,Online Banking,345,1191.94,238.388,5,3
40,0,67,F,Widowed,Low,1.0,1.0,2022-11-23,0.0,20,Website,78,1578.3500000000001,225.47857142857146,7,3
41,1,69,F,Married,High,1.0,0.0,2022-02-26,1.0,38,Mobile App,180,363.22,181.61,2,2
42,0,47,M,Widowed,Medium,,,,,10,Mobile App,167,530.61,176.87,3,2
43,0,37,M,Single,Low,2.0,1.0,2022-11-16,1.0,25,Mobile App,220,2213.63,316.23285714285714,7,4
44,0,37,F,Widowed,Low,1.0,0.0,2022-04-18,1.0,35,Mobile App,48,687.8199999999999,229.2733333333333,3,2
45,0,32,F,Widowed,Low,1.0,0.0,2022-06-25,1.0,49,Online Banking,120,300.42,300.42,1,1
46,1,57,F,Married,High,,,,,24,Online Banking,153,134.67,134.67,1,1
