column,dtype,n_missing,pct_missing
CustomerID,int64,0,0.0
ChurnStatus,int64,0,0.0
Age,int64,0,0.0
Gender,object,0,0.0
MaritalStatus,object,0,0.0
IncomeLevel,object,0,0.0
Total_Interactions,float64,332,33.2
Resolved_Count,float64,332,33.2
Last_Interaction_Date,object,332,33.2
Unresolved_Count,float64,332,33.2
LoginFrequency,int64,0,0.0
ServiceUsage,object,0,0.0
Days_Since_LastLogin,int64,0,0.0
Total_Spend,float64,0,0.0
Avg_Spend,float64,0,0.0
Txn_Count,int64,0,0.0
Distinct_Categories,int64,0,0.0
