,coefficient
Total_Interactions,-0.0526046100387595
LoginFrequency,-0.05145773590690489
Avg_Spend,0.047315908956881675
Unresolved_Count,-0.041664253907985734
IncomeLevel_Low,0.030431417677370662
Total_Interactions__was_missing,-0.027485958943971534
Unresolved_Count__was_missing,-0.027485958943971534
Resolved_Count__was_missing,-0.027485958943971534
IncomeLevel_High,-0.026007557560524162
Resolved_Count,-0.025910674449668193
Age,0.02441485217218096
Gender_M,0.02216046190397723
ServiceUsage_Mobile App,0.021705591578807446
MaritalStatus_Married,0.019245594746854566
MaritalStatus_Single,0.01904210617725491
Gender_F,-0.017756135139646436
MaritalStatus_Divorced,-0.017390761626199083
MaritalStatus_Widowed,-0.016492612533579913
ServiceUsage_Website,-0.015500118860151003
Days_Since_LastLogin,0.01435678214628185
